CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
11 DE SEPTIEMBRE DE 1888;700;560.0;1270000;2267.9;5;20;FRENTE;SI;SI;4;;TERRAZA;PALERMO;14;-58.439522516625281;-34.570691929927875
11 DE SEPTIEMBRE DE 1888;800;126.0;295000;2341.3;4;45;;;SI;0;;;PALERMO;14;-58.440256076335665;-34.57031251982491
11 DE SEPTIEMBRE DE 1888;900;109.0;320000;2935.8;4;20;FRENTE;SI;SI;3;SI;BALCON;PALERMO;14;-58.441320642680161;-34.569487109626074
11 DE SEPTIEMBRE DE 1888;900;150.0;400000;2666.7;4;37;FRENTE;SI;SI;2;SI;BALCON;PALERMO;14;-58.441320642680161;-34.569487109626074
11 DE SEPTIEMBRE DE 1888;900;270.0;950000;3518.5;4;30;FRENTE;;;3;;BALCON;PALERMO;14;-58.441320642680161;-34.569487109626074
11 DE SEPTIEMBRE DE 1888;900;350.0;880000;2514.3;4;30;;SI;SI;0;SI;TERRAZA;PALERMO;14;-58.441320642680161;-34.569487109626074
11 DE SEPTIEMBRE DE 1888;900;362.0;470000;1298.3;4;37;FRENTE;;SI;0;;;PALERMO;14;-58.441320642680161;-34.569487109626074
11 DE SEPTIEMBRE DE 1888;1000;121.0;295000;2438.0;4;;;;;0;;;PALERMO;14;-58.442291935667363;-34.568726753355989
11 DE SEPTIEMBRE DE 1888;1100;193.0;565000;2927.5;5;37;FRENTE;SI;;4;SI;;PALERMO;14;-58.443073439804039;-34.568111684940177
11 DE SEPTIEMBRE DE 1888;1200;220.0;620000;2818.2;4;10;FRENTE;SI;SI;0;SI;TERRAZA;PALERMO;14;-58.443835217943644;-34.567530716547857
11 DE SEPTIEMBRE DE 1888;1300;250.0;1200000;4800.0;5;;FRENTE;SI;SI;4;SI;TERRAZA;PALERMO;14;-58.444834024869543;-34.566376230517577
11 DE SEPTIEMBRE DE 1888;1300;280.0;1100000;3928.6;4;;FRENTE;;;0;;;PALERMO;14;-58.444834024869543;-34.566376230517577
11 DE SEPTIEMBRE DE 1888;1300;297.0;1300000;4377.1;4;;FRENTE;SI;SI;0;SI;TERRAZA;PALERMO;14;-58.444834024869543;-34.566376230517577
11 DE SEPTIEMBRE DE 1888;1300;300.0;1300000;4333.3;5;;;SI;SI;4;SI;TERRAZA;PALERMO;14;-58.444834024869543;-34.566376230517577
11 DE SEPTIEMBRE DE 1888;1300;350.0;1250000;3571.4;5;22;;SI;SI;4;SI;TERRAZA;PALERMO;14;-58.444834024869543;-34.566376230517577
11 DE SEPTIEMBRE DE 1888;1400;220.0;660000;3000.0;5;60;frente;si;si;3;si;si;PALERMO;14;-58.44563352295134;-34.565441762682696
11 DE SEPTIEMBRE DE 1888;1500;186.0;495000;2661.3;5;50;FRENTE;SI;SI;3;;BALCON;BELGRANO;13;-58.446431161593324;-34.564509377834725
11 DE SEPTIEMBRE DE 1888;1500;220.0;485000;2204.5;5;;;;;0;;;BELGRANO;13;-58.446431161593324;-34.564509377834725
11 DE SEPTIEMBRE DE 1888;1500;300.0;850000;2833.3;5;35;;SI;SI;4;SI;TERRAZA;BELGRANO;13;-58.446431161593324;-34.564509377834725
11 DE SEPTIEMBRE DE 1888;1600;74.0;350000;4729.7;2;6;CONTRAFRENTE;;;2;;;BELGRANO;13;-58.447227600248901;-34.563578491283486
11 DE SEPTIEMBRE DE 1888;1600;108.0;370000;3425.9;2;3;FRENTE;SI;SI;2;SI;TERRAZA;BELGRANO;13;-58.447227600248901;-34.563578491283486
11 DE SEPTIEMBRE DE 1888;1600;157.0;320000;2038.2;5;50;CONTRAFRENTE;SI;SI;3;;TERRAZA;BELGRANO;13;-58.447227600248901;-34.563578491283486
11 DE SEPTIEMBRE DE 1888;1700;87.0;270000;3103.4;4;35;;;SI;2;;;BELGRANO;13;-58.44802449514529;-34.562647012835988
11 DE SEPTIEMBRE DE 1888;1800;300.0;750000;2500.0;5;35;FRENTE;SI;SI;0;SI;TERRAZA;BELGRANO;13;-58.44884995558359;-34.561683014928036
11 DE SEPTIEMBRE DE 1888;2100;26.0;73000;2807.7;2;40;LATERAL;;;1;;BALCON;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2100;46.0;95500;2076.1;3;;;;;0;;;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2100;55.0;123000;2236.4;3;40;CONTRAFRENTE;;;0;;;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2100;67.0;180000;2686.6;3;17;CONTRAFRENTE;;SI;2;;;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2100;110.0;177000;1609.1;0;40;FRENTE;;;3;SI;BALCON;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2100;118.0;225000;1906.8;3;60;FRENTE;;;3;SI;;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;2200;60.0;140000;2333.3;2;38;CONTRAFRENTE;SI;SI;1;;BALCON;BELGRANO;13;-58.452112044700627;-34.55791600526716
11 DE SEPTIEMBRE DE 1888;2500;30.0;115600;3853.3;1;;CONTRAFRENTE;;SI;1;SI;BALCON;BELGRANO;13;-58.45442447637609;-34.555040126563739
11 DE SEPTIEMBRE DE 1888;2500;31.0;88600;2858.1;1;;CONTRAFRENTE;;SI;0;SI;BALCON;BELGRANO;13;-58.45442447637609;-34.555040126563739
11 DE SEPTIEMBRE DE 1888;2500;35.0;122000;3485.7;2;5;FRENTE;;;1;;TERRAZA;BELGRANO;13;-58.45442447637609;-34.555040126563739
11 DE SEPTIEMBRE DE 1888;2500;38.0;138550;3646.1;2;;FRENTE;;SI;1;SI;TERRAZA;BELGRANO;13;-58.45442447637609;-34.555040126563739
11 DE SEPTIEMBRE DE 1888;2500;49.0;129500;2642.9;2;;FRENTE;;SI;1;SI;BALCON;BELGRANO;13;-58.45442447637609;-34.555040126563739
11 DE SEPTIEMBRE DE 1888;2600;29.0;89000;3069.0;1;;FRENTE;;;0;;;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;46.0;126000;2739.1;0;;FRENTE;;;0;;;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;52.0;125000;2403.8;2;;FRENTE;;;0;;;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;56.0;178000;3178.6;3;10;FRENTE;;SI;0;;TERRAZA;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;57.0;180000;3157.9;2;3;FRENTE;;;1;;TERRAZA;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;58.0;155000;2672.4;3;12;FRENTE;;;2;;BALCON;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2600;79.0;260000;3291.1;3;1;;;SI;2;;BALCON;BELGRANO;13;-58.455157388502577;-34.554185038487688
11 DE SEPTIEMBRE DE 1888;2700;42.0;119000;2833.3;2;4;FRENTE;SI;;1;;BALCON;BELGRANO;13;-58.455893616756178;-34.553325615703457
11 DE SEPTIEMBRE DE 1888;2700;66.0;124987;1893.7;1;;CONTRAFRENTE;SI;SI;0;;PATIO;BELGRANO;13;-58.455893616756178;-34.553325615703457
11 DE SEPTIEMBRE DE 1888;2700;81.0;143016;1765.6;1;;CONTRAFRENTE;SI;;0;;;BELGRANO;13;-58.455893616756178;-34.553325615703457
11 DE SEPTIEMBRE DE 1888;2700;129.0;239297;1855.0;3;;CONTRAFRENTE;;;0;;;BELGRANO;13;-58.455893616756178;-34.553325615703457
11 DE SEPTIEMBRE DE 1888;2800;32.0;91000;2843.8;0;1;FRENTE;SI;;1;;BALCON;BELGRANO;13;-58.456608911599183;-34.552422232144394
11 DE SEPTIEMBRE DE 1888;2800;37.0;89000;2405.4;1;;;SI;;0;;;BELGRANO;13;-58.456608911599183;-34.552422232144394
11 DE SEPTIEMBRE DE 1888;2800;47.0;130000;2766.0;0;30;CONTRAFRENTE;;;1;SI;BALCON;BELGRANO;13;-58.456608911599183;-34.552422232144394
11 DE SEPTIEMBRE DE 1888;2800;54.0;145000;2685.2;3;;CONTRAFRENTE;;SI;1;;BALCON;BELGRANO;13;-58.456608911599183;-34.552422232144394
11 DE SEPTIEMBRE DE 1888;3100;79.0;162000;2050.6;0;;;;;2;;;NUÑEZ;13;-58.458702077810209;-34.54956440904084
11 DE SEPTIEMBRE DE 1888;3200;54.0;170000;3148.1;0;5;CONTRAFRENTE;;SI;0;;TERRAZA;NUÑEZ;13;-58.459273716144054;-34.548783392554988
11 DE SEPTIEMBRE DE 1888;3200;67.0;178000;2656.7;0;8;CONTRAFRENTE;;SI;2;;TERRAZA;NUÑEZ;13;-58.459273716144054;-34.548783392554988
11 DE SEPTIEMBRE DE 1888;3300;45.0;118000;2622.2;0;;;;;1;SI;TERRAZA;NUÑEZ;13;-58.459834710211034;-34.548016825206375
11 DE SEPTIEMBRE DE 1888;3300;55.0;85000;1545.5;0;50;FRENTE;;;1;;;NUÑEZ;13;-58.459834710211034;-34.548016825206375
11 DE SEPTIEMBRE DE 1888;3500;40.0;120000;3000.0;0;;CONTRAFRENTE;;;0;;;NUÑEZ;13;-58.460989106277786;-34.546438476185138
11 DE SEPTIEMBRE DE 1888;3600;33.0;89000;2697.0;0;4;;;;0;;;NUÑEZ;13;-58.461553227079328;-34.545655740475226
11 DE SEPTIEMBRE DE 1888;3800;41.0;99900;2436.6;0;;;;SI;1;;;NUÑEZ;13;-58.462723267681241;-34.544057352305806
11 DE SEPTIEMBRE DE 1888;4000;47.0;134000;2851.1;0;;FRENTE;;;1;;;NUÑEZ;13;-58.463721923492415;-34.542707366139958
11 DE SEPTIEMBRE DE 1888;4000;200.0;780000;3900.0;4;1;frente;;si;4;;si;NUÑEZ;13;-58.463721923492415;-34.542707366139958
11 DE SEPTIEMBRE DE 1888;4300;39.0;125000;3205.1;0;;CONTRAFRENTE;SI;SI;1;;BALCON;NUÑEZ;13;-58.465393316876884;-34.540447832202972
11 DE SEPTIEMBRE DE 1888;4400;43.0;93500;2174.4;0;10;FRENTE;;;1;SI;BALCON;NUÑEZ;13;-58.46597145280338;-34.539666165388837
11 DE SEPTIEMBRE DE 1888;4400;47.0;120000;2553.2;0;12;FRENTE;;;1;SI;;NUÑEZ;13;-58.46597145280338;-34.539666165388837
11 DE SEPTIEMBRE DE 1888;4400;74.0;170000;2297.3;0;20;CONTRAFRENTE;;SI;1;;BALCON;NUÑEZ;13;-58.46597145280338;-34.539666165388837
11 DE SEPTIEMBRE DE 1888;4600;47.0;95000;2021.3;0;40;FRENTE;;;1;SI;PATIO;NUÑEZ;13;-58.467084708224149;-34.538161107322125
14 de JULIO;1300;68.0;120000;1764.7;0;30;FRENTE;;;0;SI;;VILLA ORTUZAR;15;-58.461927802708963;-34.578306687046492
14 DE JULIO;1400;205.0;350000;1707.3;4;35;frente;;si;4;;si;VILLA ORTUZAR;15;-58.463404833975638;-34.576657360597686
15 DE NOVIEMBRE DE 1889;1200;80.0;120000;1500.0;0;80;FRENTE;;;2;;TERRAZA;CONSTITUCION;1;-58.382626471404016;-34.630993754467248
15 DE NOVIEMBRE DE 1889;1600;27.0;49900;1848.1;0;;fRENTE;;;0;;;CONSTITUCION;1;-58.38776068836146;-34.631453074963183
24 DE NOVIEMBRE;50;62.0;87000;1403.2;3;90;;;;2;;;BALVANERA;3;-58.411544183636124;-34.611181181801243
24 DE NOVIEMBRE;100;28.0;56000;2000.0;1;60;CONTRAFRENTE;;;1;;;BALVANERA;3;-58.411518854951538;-34.611819761493287
24 DE NOVIEMBRE;200;35.0;90000;2571.4;1;5;CONTRAFRENTE;;;1;;;BALVANERA;3;-58.411305374798282;-34.612987659304878
24 DE NOVIEMBRE;200;51.0;68000;1333.3;2;;;;;1;;;BALVANERA;3;-58.411305374798282;-34.612987659304878
24 DE NOVIEMBRE;200;77.0;125000;1623.4;4;40;FRENTE;;;2;SI;BALCON;BALVANERA;3;-58.411305374798282;-34.612987659304878
24 DE NOVIEMBRE;200;79.0;135000;1708.9;4;40;FRENTE;SI;;0;;;BALVANERA;3;-58.411305374798282;-34.612987659304878
24 DE NOVIEMBRE;200;80.0;160000;2000.0;4;37;CONTRAFRENTE;;SI;1;;BALCON;BALVANERA;3;-58.411305374798282;-34.612987659304878
24 DE NOVIEMBRE;400;27.0;50000;1851.9;1;;contrafrente;;;1;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;39.0;74000;1897.4;1;;;;;1;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;43.0;50000;1162.8;1;;;;;0;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;45.0;74000;1644.4;1;1;;;;0;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;50.0;110000;2200.0;2;;CONTRAFRENTE;;;1;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;52.0;89000;1711.5;2;;CONTRAFRENTE;;;1;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;56.0;89000;1589.3;2;;FRENTE;;;0;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;400;70.0;100000;1428.6;3;56;FRENTE;;;2;;;BALVANERA;3;-58.41099072329046;-34.615301211851062
24 DE NOVIEMBRE;1100;53.0;85000;1603.8;0;40;CONTRAFRENTE;;;1;;;SAN CRISTOBAL;3;-58.410312004617658;-34.623707692805546
