CALLE;NUMERO;M2;DOLARES;U_S_M2;PESOS;PESOS_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
TRES DE FEBRERO;1600;330;870000;2636.4;;0.0;5;27;FRENTE;SI;SI;3;SI;BALCON;BELGRANO;13;-58.44813196363306;-34.564113297636965
TRES DE FEBRERO;1700;200;510000;2550.0;;0.0;5;25;FRENTE;SI;SI;2;;;BELGRANO;13;-58.448927600287007;-34.563181786483959
TRES DE FEBRERO;1800;63;139000;2206.3;;0.0;3;60;FRENTE;;;;;;BELGRANO;13;-58.449738863727916;-34.562238694418447
TRES DE FEBRERO;1800;136;330000;2426.5;;0.0;4;0;;SI;SI;2;SI;;BELGRANO;13;-58.449738863727916;-34.562238694418447
TRES DE FEBRERO;1800;200;499000;2495.0;;0.0;5;0;FRENTE;SI;SI;4;;BALCON;BELGRANO;13;-58.449738863727916;-34.562238694418447
TRES DE FEBRERO;1900;200;580000;2900.0;;0.0;5;26;CONTRAFRENTE;SI;SI;3;SI;BALCON;BELGRANO;13;-58.450556862443136;-34.561296689698246
TRES DE FEBRERO;1900;230;550000;2391.3;;0.0;5;25;;;SI;3;;;BELGRANO;13;-58.450556862443136;-34.561296689698246
TRES DE FEBRERO;1900;295;780000;2644.1;;0.0;5;30;;;SI;;;BALCON;BELGRANO;13;-58.450556862443136;-34.561296689698246
TRES DE FEBRERO;2000;119;270000;2268.9;;0.0;4;40;FRENTE;SI;;3;SI;BALCON;BELGRANO;13;-58.451373245259418;-34.560357897131411
TRES DE FEBRERO;2000;195;410000;2102.6;;0.0;5;45;FRENTE;SI;SI;3;;TERRAZA;BELGRANO;13;-58.451373245259418;-34.560357897131411
TRES DE FEBRERO;2000;594;790000;1330.0;;0.0;5;40;FRENTE;;;;;;BELGRANO;13;-58.451373245259418;-34.560357897131411
TRES DE FEBRERO;2100;100;225000;2250.0;;0.0;4;0;FRENTE;SI;SI;2;;BALCON;BELGRANO;13;-58.452191237841248;-34.559415084606393
TRES DE FEBRERO;2100;159;370000;2327.0;;0.0;4;20;FRENTE;SI;SI;3;SI;BALCON;BELGRANO;13;-58.452191237841248;-34.559415084606393
TRES DE FEBRERO;2200;60;159000;2650.0;;0.0;2;2;CONTRAFRENTE;;SI;2;;BALCON;BELGRANO;13;-58.453016924180027;-34.558454414413248
TRES DE FEBRERO;2200;120;289900;2415.8;;0.0;4;5;FRENTE;;;3;SI;;BELGRANO;13;-58.453016924180027;-34.558454414413248
TRES DE FEBRERO;2300;42;103000;2452.4;;0.0;1;6;FRENTE;;;1;;BALCON TERRAZA;BELGRANO;13;-58.45381109879262;-34.55753034232648
TRES DE FEBRERO;2400;105;240000;2285.7;;0.0;3;15;FRENTE;;SI;1;SI;TERRAZA;BELGRANO;13;-58.454622789267681;-34.556589193811995
TRES DE FEBRERO;2500;40;86000;2150.0;;0.0;0;0;FRENTE;;;;;;BELGRANO;13;-58.455428665198362;-34.55565699680097
TRES DE FEBRERO;2500;45;94000;2088.9;;0.0;2;0;FRENTE;;;;;;BELGRANO;13;-58.455428665198362;-34.55565699680097
TRES DE FEBRERO;2500;54;125000;2314.8;;0.0;2;8;CONTRAFRENTE;;;;;;BELGRANO;13;-58.455428665198362;-34.55565699680097
TRES DE FEBRERO;2500;70;149000;2128.6;;0.0;2;0;FRENTE;;;;;;BELGRANO;13;-58.455428665198362;-34.55565699680097
