CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
VICTORICA BENJAMIN GRAL.;2500;35.0;66900;1911.4;2;25;FRENTE;;;1;;;PARQUE CHAS;15;-58.479072951398976;-34.580181043343806
RIVERA PEDRO I. Dr.;4800;40.0;67364;1684.1;1;0;FRENTE;;SI;;;BALCON;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
BERTHELOT;3300;49.0;69000;1408.2;2;0;CONTRAFRENTE;;;1;SI;TERRAZA;VILLA URQUIZA;12;-58.496698157844833;-34.568775258438052
BELAUSTEGUI LUIS DR.;2900;37.0;52500;1418.9;1;A ESTRENAR;;;;;;;VILLA SANTA RITA;11;-58.477385934774681;-34.616426786075351
BELAUSTEGUI LUIS DR.;2900;37.0;51900;1402.7;1;A ESTRENAR;;;;;;;VILLA SANTA RITA;11;-58.477385934774681;-34.616426786075351
ROCAMORA;4000;100.0;147000;1470.0;;30;FRENTE;;;;;;ALMAGRO;5;-58.420476531609481;-34.599512747310634
CORRIENTES;6100;50.0;82800;1656.0;1;0;FRENTE;;;;;;VILLA CRESPO;15;-58.445824360989526;-34.593350156144588
BELAUSTEGUI LUIS DR.;900;37.0;57900;1564.9;1;0;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.454483052466067;-34.604324576601662
BELAUSTEGUI LUIS DR.;900;37.0;58900;1591.9;1;0;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.454483052466067;-34.604324576601662
PALESTINA;600;33.0;49500;1500.0;;40;CONTRAFRENTE;;;;;;ALMAGRO;5;-58.425763814248555;-34.603540733360397
PUEYRREDON HONORIO DR.;2000;140.0;85000;607.1;;60;FRENTE;;;2;;;VILLA CRESPO;15;-58.452551303962188;-34.599561977250083
ARTIGAS MANUEL de;5100;60.0;72000;1200.0;;15;FRENTE;;;;;;MATADEROS;9;-58.496439511829763;-34.643988984840107
ARTIGAS MANUEL de;5100;65.0;75000;1153.8;;15;FRENTE;;;;;;MATADEROS;9;-58.496439511829763;-34.643988984840107
IRIGOYEN;400;40.0;48000;1200.0;;45;;;;;;;VILLA LURO;10;-58.506568887944411;-34.635584368538517
JUSTO JUAN B.;8100;25.0;38000;1520.0;1;30;;;;;SI;;VILLA LURO;10;-58.5018704563876;-34.632926631182592
FALCON RAMON L.CNEL.;5500;55.0;85000;1545.5;;35;FRENTE;;;;;;VILLA LURO;10;-58.504327806594098;-34.639039067822189
MOLIERE;600;55.0;62000;1127.3;;40;CONTRAFRENTE;;;;;;VILLA LURO;10;-58.503950783605973;-34.633109551725568
JUSTO JUAN B.;8100;55.0;75000;1363.6;;35;CONTRAFRENTE;;;;;;VILLA LURO;10;-58.5018704563876;-34.632926631182592
ARTIGAS MANUEL de;5100;58.0;76000;1310.3;;11;;;;;;;MATADEROS;9;-58.496439511829763;-34.643988984840107
YERBAL;5000;41.0;55000;1341.5;2;0;;;;;;BALCON TERR;VILLA LURO;10;-58.496862991412044;-34.636154576278969
JUSTO JUAN B.;8300;65.0;85000;1307.7;;50;FRENTE;;;;;;VILLA LURO;10;-58.504992468101847;-34.633901500851636
IRIGOYEN;400;39.0;47000;1205.1;;40;;;;;;;VILLA LURO;10;-58.506568887944411;-34.635584368538517
ARTIGAS MANUEL de;5100;64.0;72000;1125.0;;12;FRENTE;;;;;;MATADEROS;9;-58.496439511829763;-34.643988984840107
BEAUCHEF;200;80.0;140000;1750.0;4;70;CONTRAFRENTE;;;1;SI;;CABALLITO;6;-58.434526146197335;-34.619101215727909
YERBAL;400;30.0;68000;2266.7;2;30;LATERAL;SI;;1;;;CABALLITO;6;-58.437118647451044;-34.617093538124493
NEUQUEN;500;97.0;167000;1721.6;4;0;CONTRAFRENTE;;;2;SI;;CABALLITO;6;-58.43901966303762;-34.615938530449583
LOBOS ELEODORO Dr.;200;45.0;62000;1377.8;3;0;CONTRAFRENTE;;;1;;;CABALLITO;6;-58.435247982509104;-34.61522101547137
BEAUCHEF;200;127.0;165000;1299.2;4;40;FRENTE;;;2;;;CABALLITO;6;-58.434526146197335;-34.619101215727909
BERTRES;300;127.0;245000;1929.1;4;8;FRENTE;SI;SI;1;;;CABALLITO;6;-58.439148767244589;-34.621756718130108
PUEYRREDON HONORIO DR.;1000;130.0;133000;1023.1;5;0;FRENTE;SI;;1;;;CABALLITO;6;-58.444411364546603;-34.609013308688681
BELAUSTEGUI LUIS Dr.;1100;29.0;51500;1775.9;2;0;FRENTE;;SI;1;;;CABALLITO;6;-58.456204213935031;-34.605444085074033
BELAUSTEGUI LUIS Dr.;1100;29.0;52500;1810.3;2;0;FRENTE;;SI;1;;;CABALLITO;6;-58.456204213935031;-34.605444085074033
BELAUSTEGUI LUIS Dr.;1100;29.0;56000;1931.0;2;0;CONTRAFRENTE;;SI;1;;;CABALLITO;6;-58.456204213935031;-34.605444085074033
ARANGUREN JUAN F. Dr.;1400;95.0;162000;1705.3;4;25;CONTRAFRENTE;;;3;;;CABALLITO;6;-58.451980682347546;-34.618345175608546
PUEYRREDON HONORIO DR.;900;53.0;112000;2113.2;3;8;CONTRAFRENTE;SI;SI;1;;;CABALLITO;6;-58.443666448208468;-34.609987755234755
PUEYRREDON HONORIO DR.;1200;145.0;170000;1172.4;4;55;FRENTE;;;2;;;VILLA CRESPO;15;-58.44655029585261;-34.606213733842843
ESTIVAO;100;62.0;97000;1564.5;3;13;FRENTE;;;2;;;CABALLITO;6;-58.430630299947182;-34.607057311438467
ALBERDI JUAN BAUTISTA;1100;100.0;149000;1490.0;4;30;CONTRAFRENTE;;;3;;;CABALLITO;6;-58.443654180853272;-34.623038454076855
DOBLAS;100;127.0;220000;1732.3;4;30;CONTRAFRENTE;SI;SI;2;;;CABALLITO;6;-58.431488252559014;-34.617597266573711
ROFFO ANGEL H. DR.;7000;43.0;45000;1046.5;;30;;;;;;;LINIERS;9;-58.527816456835509;-34.638767889560071
GANA;100;53.0;60000;1132.1;;30;;;;;;;LINIERS;9;-58.526512797541855;-34.6382699236935
ROFFO ANGEL H. DR.;7000;45.0;45000;1000.0;;35;;;;;;;LINIERS;9;-58.527816456835509;-34.638767889560071
TONELERO;5800;92.0;180000;1956.5;;0;;;;2;;;LINIERS;9;-58.513445257406495;-34.640488071239766
MADERO;100;53.0;54500;1028.3;;30;;;;;;;LINIERS;9;-58.525194854126603;-34.638172564295665
LAS TUNAS;11100;45.0;42000;933.3;;30;;;;;;;LINIERS;9;-58.52135217381673;-34.639623960380312
ROFFO ANGEL H. DR.;7000;42.0;40000;952.4;;30;FRENTE;;;;;;LINIERS;9;-58.527816456835509;-34.638767889560071
CASCO;100;42.0;49000;1166.7;;35;;;;;;;LINIERS;9;-58.525853193821007;-34.638221203847664
GUEMES;2900;85.0;290000;3411.8;;40;;;;;;;RECOLETA;2;-58.407900154962853;-34.592481724526813
GUTIERREZ JUAN MARIA;2500;46.0;67000;1456.5;;40;CONTRAFRENTE;;;;;;RECOLETA;2;-58.39804738679549;-34.587881670497289
AGOTE LUIS DR.;2400;207.0;395000;1908.2;;55;FRENTE;;;;;;RECOLETA;2;-58.395457976860435;-34.585997510636496
ALBERTI;1400;43.0;62500;1453.5;;50;CONTRAFRENTE;;;;;;SAN CRISTOBAL;3;-58.400180984768433;-34.626175214067764
PUEYRREDON HONORIO DR.;800;75.0;149000;1986.7;4;0;CONTRAFRENTE;;;;;;CABALLITO;6;-58.442945932343328;-34.610930213943099
DINAMARCA;1100;58.0;79500;1370.7;;20;FRENTE;;;;;;CABALLITO;6;-58.451616806951016;-34.610278671423437
BUFANO ALFREDO R.;700;41.0;67000;1634.1;;35;FRENTE;;;;;;FLORES;7;-58.465369744574147;-34.621850338771011
PUEYRREDON HONORIO DR.;800;95.0;133500;1405.3;;30;FRENTE;;;;;;CABALLITO;6;-58.442945932343328;-34.610930213943099
PUEYRREDON HONORIO DR.;700;30.0;58500;1950.0;;35;;;;;SI;;CABALLITO;6;-58.442203792701541;-34.6119220114821
ARANGUREN JUAN F. Dr.;800;52.0;85000;1634.6;;30;;;;;;;CABALLITO;6;-58.443698785407989;-34.615019594218765
PUEYRREDON HONORIO DR.;300;31.0;50000;1612.9;1;0;;;;;;;CABALLITO;6;-58.44056587517229;-34.615916080532564
ARANGUREN JUAN F. Dr.;1400;104.0;135000;1298.1;;20;FRENTE;;;;;;CABALLITO;6;-58.451980682347546;-34.618345175608546
REPETTO NICOLAS DR.;900;70.0;97000;1385.7;;15;CONTRAFRENTE;;;;;;CABALLITO;6;-58.447443144403664;-34.611410285163053
DEFENSA;1300;59.0;122000;2067.8;;50;;;;;;;SAN TELMO;1;-58.371268662565683;-34.623053328745797
IRIGOYEN BERNARDO DE;1300;150.0;160000;1066.7;;40;FRENTE;;;;;;CONSTITUCION;1;-58.379775774383234;-34.623729959492891
HUMBERTO 1°;1100;40.0;49600;1240.0;;40;;;;;;;CONSTITUCION;1;-58.381493266241478;-34.620957025015521
FINOCHIETTO ENRIQUE DR.;400;47.0;59000;1255.3;;10;FRENTE;;;;;;BARRACAS;4;-58.370831580500962;-34.628117545980743
IRIGOYEN BERNARDO DE;1300;110.0;145000;1318.2;;60;FRENTE;;;2;;;CONSTITUCION;1;-58.379775774383234;-34.623729959492891
FINOCHIETTO ENRIQUE DR.;400;80.0;115000;1437.5;;10;FRENTE;;;;;;BARRACAS;4;-58.370831580500962;-34.628117545980743
IRIGOYEN BERNARDO DE;1300;114.0;130000;1140.4;;40;FRENTE;;;;;;CONSTITUCION;1;-58.379775774383234;-34.623729959492891
REPETTO NICOLAS DR.;50;57.0;79900;1401.8;3;46;CONTRAFRENTE;;;1;;;CABALLITO;6;-58.44310056229083;-34.62051791310077
AMPERE;800;54.0;69500;1287.0;3;14;FRENTE;;;1;;;CABALLITO;6;-58.444939745254459;-34.608386934052326
LOBOS;200;136.0;168000;1235.3;3;15;FRENTE;SI;SI;4;;;CABALLITO;6;-58.435247982509104;-34.61522101547137
FLORES VENANCIO GRAL.;500;88.0;103000;1170.5;4;25;FRENTE;;;2;;;CABALLITO;6;-58.437522595834146;-34.616487811886962
SAN NICOLAS;5000;34.0;54900;1614.7;1;35;FRENTE;;;;;;VILLA DEVOTO;11;-58.515386178537206;-34.590343884053581
QUEVEDO;3200;55.0;94000;1709.1;;A ESTRENAR;FRENTE;;;;;;VILLA DEVOTO;11;-58.516764119688332;-34.613158633774944
SAN MARTIN;6500;66.0;82000;1242.4;;10;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.50626517509329;-34.593438557482784
OTTAWA;2900;77.0;75000;974.0;;50;FRENTE;;;;;;VILLA REAL;10;-58.52543981301536;-34.614192776779674
GUTENBERG;3500;72.0;109000;1513.9;;A ESTRENAR;FRENTE;;;;;;VILLA DEVOTO;11;-58.508546978374788;-34.595207607771542
GUTENBERG;3500;72.0;103000;1430.6;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.508546978374788;-34.595207607771542
SEGUROLA;3400;80.0;110000;1375.0;;38;FRENTE;;;;;;VILLA DEVOTO;11;-58.513441956157259;-34.606115846758456
GUTIERREZ RICARDO;3700;37.0;54500;1473.0;;35;;;;;SI;;VILLA DEL PARQUE;11;-58.504067603362216;-34.601880417730392
CHIVILCOY;4700;71.0;92000;1295.8;;A ESTRENAR;FRENTE;;;;;;VILLA DEVOTO;11;-58.516964579084004;-34.594063531143362
CHIVILCOY;4700;63.0;92000;1460.3;;45;FRENTE;;;;;;VILLA DEVOTO;11;-58.516964579084004;-34.594063531143362
NAZARRE;5000;65.0;70000;1076.9;;50;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.515585988322314;-34.614823762744727
SOLA MANUEL;4400;45.0;71500;1588.9;;A ESTRENAR;FRENTE;;;;;;VILLA DEVOTO;11;-58.507196660227869;-34.610322536119227
COLIGUE;1900;50.0;65000;1300.0;;40;FRENTE;;;;;;VILLA REAL;10;-58.525815546987609;-34.614484361019507
GUTENBERG;3500;65.0;85000;1307.7;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.508546978374788;-34.595207607771542
GUTENBERG;3500;65.0;92000;1415.4;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.508546978374788;-34.595207607771542
GUTENBERG;3200;85.0;99500;1170.6;;35;FRENTE;;;;;;AGRONOMIA;15;-58.502119724180233;-34.594240091715257
GUTENBERG;3500;72.0;105000;1458.3;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEVOTO;11;-58.508546978374788;-34.595207607771542
CARRIL SALVADOR MARIA DEL;3700;180.0;380000;2111.1;;35;FRENTE;;;;;;VILLA DEVOTO;11;-58.510094213209875;-34.597980358375906
IBARROLA RODRIGO DE;3100;40.0;55000;1375.0;;35;;;;;;;VILLA DEVOTO;11;-58.52447962542044;-34.613576065079712
LYNCH ARRIBALZAGA FELIX;4400;55.0;72000;1309.1;;35;FRENTE;;;;;BALCON;MONTE CASTRO;10;-58.503224356730769;-34.614774611231979
ALTA GRACIA;3100;27.0;56000;2074.1;1;39;FRENTE;;;;;;VILLA DEVOTO;11;-58.524000848979128;-34.61328685252289
CANTILO;4100;180.0;380000;2111.1;;16;FRENTE;;;;;;VILLA DEVOTO;11;-58.510857683600754;-34.602923417044053
LYNCH ARRIBALZAGA FELIX;4400;34.0;59900;1761.8;;25;;;;;SI;;MONTE CASTRO;10;-58.503224356730769;-34.614774611231979
DESAGUADERO;2200;45.0;72000;1600.0;;5;FRENTE;;;;;;MONTE CASTRO;10;-58.507398949510588;-34.619917222513891
IRIGOYEN BERNARDO DE;1800;150.0;145000;966.7;;8;FRENTE;;;;;;MONTE CASTRO;10;-58.521611277693779;-34.624424613951227
VILA NICOLAS;400;65.0;105000;1615.4;3;30;LATERAL;;SI;1;;;CABALLITO;6;-58.437311251247756;-34.616719640775166
PORTUGAL;500;48.0;85100;1772.9;2;0;CONTRAFRENTE;;;1;;;CABALLITO;6;-58.433001505833879;-34.610528085325498
PORTUGAL;500;36.0;61500;1708.3;2;0;;;;1;;;CABALLITO;6;-58.433001505833879;-34.610528085325498
IRIGOYEN BERNARDO DE;2200;61.0;80000;1311.5;;8;FRENTE;;;;;;VILLA REAL;10;-58.525696078194727;-34.62128078169745
BRUSELAS;500;50.0;78000;1560.0;;A ESTRENAR;FRENTE;;;;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
BRUSELAS;500;63.0;80000;1269.8;;A ESTRENAR;FRENTE;;;;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
BRUSELAS;500;62.0;90000;1451.6;;A ESTRENAR;CONTRAFRENTE;;;2;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
BRUSELAS;500;64.0;95000;1484.4;;A ESTRENAR;FRENTE;;;2;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
BRUSELAS;500;59.0;79000;1339.0;;A ESTRENAR;CONTRAFRENTE;;;;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
VERDI JOSE;1700;66.0;70000;1060.6;;30;FRENTE;;;;;BALCON;MONTE CASTRO;10;-58.511053830917419;-34.623706989821628
BRUSELAS;500;49.0;75400;1538.8;;A ESTRENAR;FRENTE;;;;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
IRIGOYEN BERNARDO DE;2200;68.0;80000;1176.5;;8;FRENTE;;;;;;VILLA REAL;10;-58.525696078194727;-34.62128078169745
BRUSELAS;500;57.0;76000;1333.3;;A ESTRENAR;CONTRAFRENTE;;;;;;VERSALLES;10;-58.521583490626142;-34.632604746306669
BELAUSTEGUI LUIS Dr.;3000;43.0;70000;1627.9;;A ESTRENAR;FRENTE;;;;;;VILLA SANTA RITA;11;-58.478684185635302;-34.617108552077347
NAZCA;3100;68.0;89000;1308.8;;25;FRENTE;;;4;;;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
RIVAS GRAL.;2300;47.0;77000;1638.3;;2;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.482134629812663;-34.598262046313941
RIVAROLA PANTALEON;2400;115.0;139000;1208.7;;45;FRENTE;;;2;;;AGRONOMIA;15;-58.485112588812981;-34.595405651876042
VILLA JUNCAL;2400;63.0;81500;1293.7;;20;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.479855471024244;-34.60545427066031
MIRANDA;3600;44.0;60000;1363.6;1;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA SANTA RITA;11;-58.493051583257397;-34.613518265622609
BAIGORRIA;2300;35.0;62000;1771.4;1;A ESTRENAR;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.483837926369766;-34.598919559633366
ALVAREZ JONTE;3700;58.0;69900;1205.2;;25;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.493720851660555;-34.613413001942845
ALVAREZ JONTE;3700;90.0;90000;1000.0;;35;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.493720851660555;-34.613413001942845
DANTAS JULIO S.;3300;40.0;55000;1375.0;;30;;;;;;;VILLA SANTA RITA;11;-58.48875767235053;-34.611217088516376
EMPEDRADO;2400;58.0;54000;931.0;;10;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.481703667468892;-34.600390541074013
EMPEDRADO;2400;55.0;55000;1000.0;;10;FRENTE;;;;;;VILLA DEL PARQUE;11;-58.481703667468892;-34.600390541074013
NAZCA;3100;38.0;57200;1505.3;1;A ESTRENAR;FRENTE;;;;;BALCON;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;40.0;66300;1657.5;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;53.0;72000;1358.5;;A ESTRENAR;FRENTE;;;;;BALCON;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;41.0;62100;1514.6;;A ESTRENAR;FRENTE;;;;;BALCON;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;40.0;65000;1625.0;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;40.0;67600;1690.0;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;40.0;68900;1722.5;;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
NAZCA;3100;41.0;63300;1543.9;;A ESTRENAR;FRENTE;;;;;BALCON;VILLA DEL PARQUE;11;-58.490915743166717;-34.599992033956404
BELAUSTEGUI LUIS Dr.;3100;57.0;63000;1105.3;1;A ESTRENAR;CONTRAFRENTE;;;;;;VILLA SANTA RITA;11;-58.479944594334548;-34.617769025334802
