CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ARMENIA;500;60.0;115000;1916.7;;1;CONTRAFRENTE;;;;;;PALERMO;14;-58.429207812174944;-34.590703536062371
ARMENIA;4200;81.0;180000;2222.2;3;10;FRENTE;;SI;;SI;;PALERMO;14;-58.41965581077713;-34.584477756643658
ARMENIA;600;45.0;69000;1533.3;2;30;CONTRAFRENTE;;;;;;PALERMO;14;-58.428211632814396;-34.590044927782792
REPUBLICA ARABE-SIRIA;300;73.0;147000;2013.7;3;40;FRENTE;SI;;;SI;;PALERMO;14;-58.413620619832777;-34.580837546075067
GUEMES;300;224.0;720000;3214.3;2;A ESTRENAR;FRENTE;SI;SI;2;SI;TERRAZA;PUERTO MADERO;1;-58.363408102310871;-34.604793982482732
GOYA;2555;45.0;59000;1311.1;2;0;;;;;SI;;VILLA DEL PARQUE;11;-58.485946525821397;-34.599468341801597
ARMENIA;500;94.0;120000;1276.6;4;40;FRENTE;;;;SI;;PALERMO;14;-58.429207812174944;-34.590703536062371
PALESTINA;200;65.0;125000;1923.1;3;A ESTRENAR;FRENTE;;SI;;;;PALERMO;14;-58.424249043365869;-34.596244428000766
PALESTINA;200;65.0;115000;1769.2;3;A ESTRENAR;FRENTE;;SI;;;;PALERMO;14;-58.424249043365869;-34.596244428000766
PALESTINA;200;68.0;116000;1705.9;3;A ESTRENAR;CONTRAFRENTE;;SI;;;;PALERMO;14;-58.424249043365869;-34.596244428000766
PALESTINA;200;30.0;46000;1533.3;1;40;LATERAL;;;;;PATIO;PALERMO;14;-58.424249043365869;-34.596244428000766
TRES SARGENTOS;800;270.0;980000;3629.6;;25;FRENTE;;SI;3;;;VILLA CRESPO;15;-58.452543929447572;-34.604748342669836
TRES SARGENTOS;800;306.0;890000;2908.5;5;25;FRENTE;;;3;SI;BALCON TERR;VILLA CRESPO;15;-58.452543929447572;-34.604748342669836
CASTILLO;0;68.0;86500;1272.1;2;0;CONTRAFRENTE;;SI;1;;BALCON;VILLA CRESPO;15;-58.430211515801609;-34.599779332750337
ARMENIA;500;35.0;66000;1885.7;2;40;FRENTE;;;1;;;PALERMO;14;-58.429207812174944;-34.590703536062371
AGUIRRE JULIAN;200;34.0;55000;1617.6;2;38;FRENTE;;;1;;;VILLA CRESPO;15;-58.433307324069375;-34.600164271537523
FIGUEROA ALCORTA PRES.;100;120.0;385000;3208.3;2;0;;SI;SI;;SI;BALCON;VILLA CRESPO;15;-58.443374469844159;-34.602834338820351
FOREST;100;33.0;58500;1772.7;2;30;CONTRAFRENTE;;;1;SI;BALCON;CHACARITA;15;-58.457950824810077;-34.580790910686687
PUERTO DE PALOS;200;47.0;42000;893.6;2;30;CONTRAFRENTE;;;1;SI;;BOCA;4;-58.363773918095511;-34.63321470232151
PEREYRA LUCENA;1600;50.0;57500;1150.0;3;60;FRENTE;;;1;;BALCON;BOEDO;5;-58.41839518151631;-34.631654888712688
CUCHA CUCHA;100;77.0;110000;1428.6;;40;CONTRAFRENTE;;;;;;CABALLITO;6;-58.449158913443952;-34.610831267566901
OLAYA;100;72.0;87000;1208.3;;30;FRENTE;;;;;;CABALLITO;6;-58.442589286362477;-34.607740698536304
CUCHA CUCHA;100;110.0;129900;1180.9;;0;;;;;;;CABALLITO;6;-58.449158913443952;-34.610831267566901
GARCIA PEDRO A.CNEL.;5600;37.0;38500;1040.5;;37;FRENTE;;;;;;VILLA LUGANO;8;-58.466527195014194;-34.682340937839442
GARCIA PEDRO A.CNEL.;5500;50.0;40000;800.0;;36;CONTRAFRENTE;;;;;;VILLA LUGANO;8;-58.466527195014194;-34.682340937839442
PIEDRA BUENA;100;48.0;35000;729.2;;40;FRENTE;;;;;;MONTSERRAT;1;-58.377753386467411;-34.609387002697154
DONIZETTI;0;73.0;70000;958.9;3;0;;;;;SI;BALCON;VILLA LURO;10;-58.496550494980966;-34.637067096030911
ARTIGAS MANUEL de;1800;115.0;84000;730.4;3;35;;;;1;;;VILLA GRAL. MITRE;11;-58.474702892396856;-34.610756091331233
CULLEN;4800;85.0;131000;1541.2;3;A ESTRENAR;FRENTE;;;2;;BALCON;VILLA URQUIZA;12;-58.484176875441023;-34.570846309244203
HOLMBERG;800;56.0;80000;1428.6;2;1;CONTRAFRENTE;;;1;;BALCON;VILLA ORTUZAR;15;-58.469066139683584;-34.584049592891525
BAUNESS;2500;41.0;77000;1878.0;2;0;;;;;;;VILLA URQUIZA;12;-58.488337843547413;-34.574239280068369
RIVERA PEDRO I. Dr.;4800;50.0;87500;1750.0;2;0;;;;;;;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
CULLEN;4800;88.0;160000;1818.2;4;0;;;;;;;VILLA URQUIZA;12;-58.484176875441023;-34.570846309244203
ROOSEVELT FRANKLIN D.;1500;45.0;69000;1533.3;;37;FRENTE;;;;;;BELGRANO;13;-58.451607176604618;-34.552188764566786
BALBIN RICARDO DR.;2300;35.0;55000;1571.4;1;25;FRENTE;;;;;;BELGRANO;13;-58.46506362574479;-34.562792722597138
VUELTA DE OBLIGADO;1100;97.0;159900;1648.5;;30;FRENTE;;;;;;PALERMO;14;-58.446531070784808;-34.568258538454515
RIVERA PEDRO I. Dr.;2500;105.0;165000;1571.4;;37;FRENTE;;;3;;;BELGRANO;13;-58.462117628118264;-34.557386151021184
CAMPOS LUIS M.;1900;139.0;295000;2122.3;;27;CONTRAFRENTE;;;;;;NUNEZ;13;-58.460054631110062;-34.549149809934541
PALPA;2300;146.0;295000;2020.5;;12;FRENTE;;;;;;PALERMO;14;-58.445644429771946;-34.568214477502956
BALBIN RICARDO DR.;2500;56.0;115000;2053.6;;10;FRENTE;;;2;;;BELGRANO;13;-58.465133225321871;-34.562763279780221
ARANGUREN JUAN F. Dr.;2900;68.0;66000;970.6;;35;FRENTE;;;;;;FLORES;7;-58.472089352998232;-34.625157094275863
GARRO;3000;67.0;95000;1417.9;;A ESTRENAR;CONTRAFRENTE;;;;;;PARQUE PATRICIOS;4;-58.406146562872934;-34.632621881142619
CASTILLO CATULO;2400;67.0;72000;1074.6;;45;FRENTE;;;;;;PARQUE PATRICIOS;4;-58.397299092970428;-34.631845992503102
REPETTO NICOLAS DR.;100;57.0;79900;1401.8;;46;CONTRAFRENTE;;;;;;CABALLITO;6;-58.443309630499009;-34.619927759848608
YERBAL;400;50.0;68000;1360.0;;30;;;;;;;CABALLITO;6;-58.437118647451044;-34.617093538124493
CUCHA CUCHA;600;31.0;52000;1677.4;;40;FRENTE;;;;;;CABALLITO;6;-58.446744101208253;-34.615023190843516
FLORES VENANCIO Gral.;500;88.0;103000;1170.5;;25;FRENTE;;;2;;;CABALLITO;6;-58.437522595834146;-34.616487811886962
VIEL;200;225.0;275000;1222.2;;25;FRENTE;;;;;;CABALLITO;6;-58.433388583654676;-34.618958824747267
PUEYRREDON HONORIO DR.;1400;38.0;78000;2052.6;1;A ESTRENAR;FRENTE;;;;;;VILLA CRESPO;15;-58.447769034723464;-34.60465134112598
GALILEO;2400;287.0;850000;2961.7;;40;FRENTE;;;;;;RECOLETA;2;-58.398938113202234;-34.585911260445627
COPERNICO;2300;106.0;240000;2264.2;;28;FRENTE;;;1;;;RECOLETA;2;-58.397154698787872;-34.586765792098213
CERRITO;1400;260.0;730000;2807.7;;50;FRENTE;;;;;;RETIRO;1;-58.383146035602117;-34.591540899542366
SCHIAFFINO EDUARDO;2000;384.0;1680000;4375.0;;50;FRENTE;;;5;;;RECOLETA;2;-58.389748390333395;-34.587254491542552
CASEROS;400;83.0;129000;1554.2;;100;;;;;;;SAN TELMO;1;-58.371003272284469;-34.626649413108666
URIBURU;1500;169.0;475000;2810.7;;A ESTRENAR;FRENTE;;;;;;RECOLETA;2;-58.396772557109678;-34.591174170701969
URIBURU;600;25.0;41000;1640.0;1;45;FRENTE;;;;;;BALVANERA;3;-58.398496873022644;-34.602206044726351
URIBURU;400;94.0;130000;1383.0;;45;FRENTE;;;;;;BALVANERA;3;-58.398218303052012;-34.604584223085141
RIVERA PEDRO I. Dr.;4800;39.0;63865;1637.6;2;0;CONTRAFRENTE;;SI;;;BALCON;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
RIVERA PEDRO I. Dr.;4800;40.0;64276;1606.9;2;0;FRENTE;;SI;;;BALCON;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
RIVERA PEDRO I. Dr.;4800;40.0;64962;1624.1;2;0;FRENTE;;SI;1;;BALCON;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
RIVERA PEDRO I. Dr.;4800;40.0;65610;1640.3;2;0;FRENTE;;SI;;;BALCON;VILLA URQUIZA;12;-58.48438415104814;-34.570335847408813
