CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
11 DE SEPTIEMBRE DE 1888;4200;50.0;98000;1960.0;2;A ESTRENAR;CONTRAFRENTE;SI;;1;;BALCON;NUÑEZ;13;-58.464546488548748;-34.541074647000436
11 DE SEPTIEMBRE DE 1888;2900;55.0;95000;1727.3;3;22;CONTRAFRENTE;;;1;SI;;NUÑEZ;13;-58.457136021164672;-34.551182019245125
11 DE SEPTIEMBRE DE 1888;3200;63.0;140000;2222.2;0;;CONTRAFRENTE;;SI;1;;;NUÑEZ;13;-58.458994140445185;-34.548643305028136
11 DE SEPTIEMBRE DE 1888;3800;80.0;145000;1812.5;0;10;CONTRAFRENTE;SI;;0;SI;;NUÑEZ;13;-58.462444521690081;-34.543916158569409
11 DE SEPTIEMBRE DE 1888;2500;113.0;259900;2300.0;0;A ESTRENAR;FRENTE;;SI;0;;BALCON;BELGRANO;13;-58.454158331643647;-34.554883124719431
11 DE SEPTIEMBRE DE 1888;4700;33.0;65000;1969.7;1;3;FRENTE;;;1;;;NUÑEZ;13;-58.467414800421167;-34.537268518972738
11 DE SEPTIEMBRE DE 1888;4200;40.0;70000;1750.0;1;;;;;0;;;NUÑEZ;13;-58.464546488548748;-34.541074647000436
11 DE SEPTIEMBRE DE 1888;4400;84.0;165000;1964.3;0;;;;;0;SI;;NUÑEZ;13;-58.465692705917903;-34.539524992550291
11 DE SEPTIEMBRE DE 1888;3600;70.0;125000;1785.7;2;1;CONTRAFRENTE;;SI;1;SI;;NUÑEZ;13;-58.461272517114544;-34.545517229022487
11 DE SEPTIEMBRE DE 1888;4200;94.0;161000;1712.8;3;1;FRENTE;;;2;;BALCON;NUÑEZ;13;-58.464546488548748;-34.541074647000436
11 DE SEPTIEMBRE DE 1888;4500;64.0;143000;2234.4;3;5;FRENTE;;SI;2;;BALCON;NUÑEZ;13;-58.466237454513596;-34.53878856138509
11 DE SEPTIEMBRE DE 1888;2100;130.0;285000;2192.3;4;16;CONTRAFRENTE;SI;SI;4;SI;;BELGRANO;13;-58.45117379243181;-34.558763318513719
11 DE SEPTIEMBRE DE 1888;900;153.0;520000;3398.7;4;A ESTRENAR;FRENTE;SI;SI;2;;BALCON;PALERMO;14;-58.441096469127181;-34.569290264943518
11 DE SEPTIEMBRE DE 1888;1000;100.0;240000;2400.0;3;;FRENTE;;SI;1;;BALCON;PALERMO;14;-58.442066606275624;-34.568530815366501
11 DE SEPTIEMBRE DE 1888;2200;64.0;115000;1796.9;2;35;FRENTE;;;1;SI;;BELGRANO;13;-58.451846706869297;-34.557758060899914
11 DE SEPTIEMBRE DE 1888;4400;133.0;249000;1872.2;4;7;;SI;;3;SI;BALCON;NUÑEZ;13;-58.465692705917903;-34.539524992550291
11 DE SEPTIEMBRE DE 1888;3300;30.0;55000;1833.3;2;30;CONTRAFRENTE;;;1;;;NUÑEZ;13;-58.459555128193109;-34.547876749798888
11 DE SEPTIEMBRE DE 1888;3800;51.0;109000;2137.3;2;;CONTRAFRENTE;;;2;;;NUÑEZ;13;-58.462444521690081;-34.543916158569409
11 DE SEPTIEMBRE DE 1888;4200;73.0;98000;1342.5;2;;CONTRAFRENTE;SI;;1;;BALCON;NUÑEZ;13;-58.464546488548748;-34.541074647000436
11 DE SEPTIEMBRE DE 1888;2600;73.0;128000;1753.4;2;;CONTRAFRENTE;;;0;SI;;BELGRANO;13;-58.454890698301071;-34.554028674672296
11 DE SEPTIEMBRE DE 1888;3200;115.0;280000;2434.8;1;;FRENTE;;;0;;BALCON;NUÑEZ;13;-58.458994140445185;-34.548643305028136
11 DE SEPTIEMBRE DE 1888;3300;50.0;84900;1698.0;3;35;FRENTE;;;1;;;NUÑEZ;13;-58.459555128193109;-34.547876749798888
11 DE SEPTIEMBRE DE 1888;3600;43.0;86000;2000.0;1;;FRENTE;;SI;1;;BALCON;NUÑEZ;13;-58.461272517114544;-34.545517229022487
11 DE SEPTIEMBRE DE 1888;4200;90.0;200000;2222.2;2;;FRENTE;;SI;2;;BALCON;NUÑEZ;13;-58.464546488548748;-34.541074647000436
11 DE SEPTIEMBRE DE 1888;4700;54.0;110000;2037.0;3;;FRENTE;;;1;SI;;NUÑEZ;13;-58.467414800421167;-34.537268518972738
11 DE SEPTIEMBRE DE 1888;4700;120.0;129000;1075.0;3;25;FRENTE;;;0;;;NUÑEZ;13;-58.467414800421167;-34.537268518972738
11 DE SEPTIEMBRE DE 1888;3300;30.0;55000;1833.3;2;30;CONTRAFRENTE;;;1;;;NUÑEZ;13;-58.459555128193109;-34.547876749798888
11 DE SEPTIEMBRE DE 1888;3800;51.0;109000;2137.3;2;;CONTRAFRENTE;;;2;;;NUÑEZ;13;-58.462444521690081;-34.543916158569409
11 DE SEPTIEMBRE DE 1888;3900;62.0;134000;2161.3;3;9;CONTRAFRENTE;;;1;;BALCON;NUÑEZ;13;-58.462964975152282;-34.54321259391557
11 DE SEPTIEMBRE DE 1888;4600;38.0;75000;1973.7;2;50;CONTRAFRENTE;;;1;;;NUÑEZ;13;-58.466805970162028;-34.538019929302529
11 DE SEPTIEMBRE DE 1888;1600;56.0;152000;2714.3;2;15;FRENTE;;SI;1;;BALCON TERRAZA;BELGRANO;13;-58.446960768824951;-34.563422257657805
11 DE SEPTIEMBRE DE 1888;2700;60.0;148000;2466.7;2;;FRENTE;;SI;1;;BALCON;BELGRANO;13;-58.455626942116282;-34.553169236899983
11 DE SEPTIEMBRE DE 1888;3200;115.0;280000;2434.8;1;;FRENTE;;;0;;BALCON;NUÑEZ;13;-58.458994140445185;-34.548643305028136
11 DE SEPTIEMBRE DE 1888;3300;50.0;84900;1698.0;3;35;FRENTE;;;1;;;NUÑEZ;13;-58.459555128193109;-34.547876749798888
11 DE SEPTIEMBRE DE 1888;3600;40.0;86000;2150.0;1;;FRENTE;;SI;1;;BALCON;NUÑEZ;13;-58.461272517114544;-34.545517229022487
