X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,5054004015202;-34,5749378875;14567;;;;;;{110,169};;;;96.136.914.062.500.000.000;106.026.414.062.500.000.000;F;;ALBARELLOS AV.&&ARTIGAS, JOSE GERVASIO, GRAL.;USIG;F;8/11/2016
-58,5121805987815;-34,5768761714;1004215;PARADAS CON REFUGIO;PAZ, GRAL. AV. COLECTORA;5314;SOTO, ANTONIO;EZEIZA;{28};;;;95.514.884.038.621.900.000;105.811.110.743.421.000.000;F;;;RELEVAMIENTO2015;T;10/4/2015
-58,5065352971559;-34,5814799419;3264;;;;;;{110};;;;96.033.093.750.000.000.000;105.300.640.625.000.000.000;F;;FRANCO&&NAZCA;USIG;F;30/11/2016
-58,4687702795580;-34,5827479977;1003636;PARADA NO OFICIAL;FRAGA;1826;;;{};FRAGA 1826;FRAGA;1826;99.498.062.167.600.000.000;105.160.827.980.999.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,4352827209205;-34,5831845293;1000897;PARADA NO OFICIAL;FITZ ROY;1808;COSTA RICA;EL SALVADOR;{108,111};FITZ ROY 1808;FITZ ROY;1808;102.570.503.138.999.000.000;105.112.077.376.999.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
-58,4025571260730;-34,5835506153;1000505;PARADAS CON REFUGIO;LAS HERAS GENERAL AV.;2914;BILLINGHURST;SANCHEZ DE BUSTAMANTE;{60,95};LAS HERAS GENERAL AV. 2914;LAS HERAS GENERAL AV.;2914;105.573.008.153.000.000.000;105.070.164.135.000.000.000;F;;;RELEVAMIENTO2015;T;13/4/2015
-58,4443375988491;-34,5847204265;1000097;PARADAS CON REFUGIO;CORDOBA AV.;5981;RAVIGNANI, EMILIO, DR.;AREVALO;{151,168};CORDOBA AV. 5981;CORDOBA AV.;5981;101.739.699.368.000.000.000;104.941.884.149.000.000.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,4268268249151;-34,5851392464;1000656;PARADAS DE POSTE;THAMES;2038;GUATEMALA;SOLER;{55};THAMES 2038;THAMES;2038;103.346.243.092.000.000.000;104.894.991.591.000.000.000;F;;;RELEVAMIENTO2015;T;14/4/2015
-58,4692868843489;-34,5870552581;3785;;;;;;{123};;;;99.450.695.312.500.000.000;104.683.007.812.500.000.000;F;;MONTENEGRO&&TRONADOR;USIG;F;30/11/2016
-58,3794497097895;-34,5900748392;14263;;;;;;{100,61,70};;;;107.692.476.562.500.000.000;104.344.906.250.000.000.000;F;;DEL LIBERTADOR AV.&&SUIPACHA;USIG;F;8/11/2016
-58,5217842226174;-34,5959425325;7491;;;;;;{161,21,28};;;;94.634.935.996.729.400.000;103.695.547.942.847.000.000;F;;PAZ, GRAL. AV.;USIG;F;8/11/2016
-58,4266299826744;-34,5962481715;1000080;PARADA NO OFICIAL;CORDOBA AV.;4267;PRINGLES;ESTADO DE PALESTINA;{168};CORDOBA AV. 4267;CORDOBA AV.;4267;103.363.862.236.999.000.000;103.662.637.835.999.000.000;F;;;RELEVAMIENTO2015;T;9/4/2015
-58,4335322927437;-34,5966341197;1004017;PARADAS DE POSTE;SCALABRINI ORTIZ, RAUL AV.;779;;;{110,57};SCALABRINI ORTIZ, RAUL AV. 779;SCALABRINI ORTIZ, RAUL AV.;779;102.730.671.359.999.000.000;103.620.028.042.000.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,4214619747215;-34,5976534822;1001925;PARADAS CON REFUGIO;CORDOBA AV.;3885;;;{140};CORDOBA AV. 3885;CORDOBA AV.;3885;103.837.882.069.000.000.000;103.506.560.614.999.000.000;F;;;RELEVAMIENTO2015;T;21/4/2015
-58,4109977651101;-34,5979694151;1000460;PARADAS CON REFUGIO;CORDOBA AV.;3137;AGUERO;GALLO;{140};CORDOBA AV. 3137;CORDOBA AV.;3137;104.797.774.823.000.000.000;103.471.071.089.000.000.000;F;;;RELEVAMIENTO2015;T;13/4/2015
-58,4081479690345;-34,5980689599;4959;;;;;;{109};;;;105.059.187.500.000.000.000;103.459.890.625.000.000.000;F;;ANCHORENA, TOMAS MANUEL DE, DR.&&CORDOBA AV.;USIG;F;30/11/2016
-58,3773829629475;-34,5987629375;1001588;PARADAS DE POSTE;CORDOBA AV.;731;MAIPU;ESMERALDA;{45,9};CORDOBA AV. 731;CORDOBA AV.;731;107.881.267.361.000.000.000;103.380.949.459.000.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,4359304737564;-34,5991957958;5083;;;;;;{127};;;;102.510.601.562.500.000.000;103.335.914.062.500.000.000;F;;ARAOZ&&RAMIREZ DE VELASCO, JUAN;USIG;F;31/1/2017
-58,4377397274842;-34,6030428753;5618;;;;;;{124,65,71,92,99};;;;102.344.531.250.000.000.000;102.909.187.500.000.000.000;F;;CAMARGO&&LAVALLEJA;USIG;F;8/11/2016
-58,4884694593218;-34,6033046238;1004061;PARADAS DE POSTE;NAZCA AV.;2826;SASTRE, MARCOS;SASTRE, MARCOS;{84};NAZCA AV. 2826;NAZCA AV.;2826;97.691.262.008.000.000.000;102.880.132.203.000.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,5090446665612;-34,6066795055;1005131;PARADA NO OFICIAL;GUALEGUAYCHU;3108;VARELA;SIMBRON;{134};GUALEGUAYCHU 3108;GUALEGUAYCHU;3108;95.804.141.597.499.900.000;102.505.070.779.999.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3714711103954;-34,6077780559;1001010;PARADAS CON REFUGIO;RIVADAVIA AV.;363;BALCARCE;RECONQUISTA;{22,7,91};RIVADAVIA AV. 363;RIVADAVIA AV.;363;108.422.666.500.000.000.000;102.380.397.707.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3714711103954;-34,6077780559;1001014;PARADAS CON REFUGIO;RIVADAVIA AV.;363;;RECONQUISTA;{126,50};RIVADAVIA AV. 363;RIVADAVIA AV.;363;108.422.666.500.000.000.000;102.380.397.707.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3714711103954;-34,6077780559;1001019;PARADAS CON REFUGIO;RIVADAVIA AV.;363;25 DE MAYO;RECONQUISTA;{111,146,56};RIVADAVIA AV. 363;RIVADAVIA AV.;363;108.422.666.500.000.000.000;102.380.397.707.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3714711103954;-34,6077780559;1001021;PARADAS DE POSTE;RIVADAVIA AV.;371;25 DE MAYO;RECONQUISTA;{29,64};RIVADAVIA AV. 371;RIVADAVIA AV.;371;108.422.666.500.000.000.000;102.380.397.707.000.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
-58,4190571140479;-34,6086209666;1002539;PARADA NO OFICIAL;DIAZ VELEZ AV.;3722;;;{146};DIAZ VELEZ AV. 3722;DIAZ VELEZ AV.;3722;104.057.960.251.000.000.000;102.289.808.439.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3848659470909;-34,6086882077;6356;;;;;;{60};;;;107.193.992.187.500.000.000;102.280.460.937.500.000.000;F;;RIVADAVIA AV.&&SANTIAGO DEL ESTERO;USIG;F;8/11/2016
-58,4176112553352;-34,6096097102;1002592;PARADAS DE POSTE;MITRE, BARTOLOME;3610;;;{104};MITRE, BARTOLOME 3610;MITRE, BARTOLOME;3610;104.190.526.382.000.000.000;102.180.065.403.000.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
-58,3892670907610;-34,6101424975;1001818;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1628;SOLIS;CEVALLOS, VIRREY;{60};YRIGOYEN, HIPOLITO AV. 1628;YRIGOYEN, HIPOLITO AV.;1628;106.790.199.061.000.000.000;102.119.434.213.000.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,3909268883046;-34,6103029415;1001657;PARADAS DE POSTE;YRIGOYEN, HIPOLITO AV.;1750;ENTRE RIOS AV.;SOLIS;{56};YRIGOYEN, HIPOLITO AV. 1750;YRIGOYEN, HIPOLITO AV.;1750;106.637.951.373.000.000.000;102.101.745.169.000.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
