CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
LACROZE, FEDERICO;3300;79.0;162000;2050.6;3;0;;;;2;;;COLEGIALES;13;-58.449821983622535;-34.578966627049923
THAMES;600;117.0;239900;2050.4;0;0;;;;;;;VILLA CRESPO;15;-58.441993411365125;-34.594465237657467
BAHIA BLANCA;2000;60.0;123000;2050.0;0;A ESTRENAR;;;SI;SI;;;MONTE CASTRO;10;-58.495866488861537;-34.615986833372645
VILARDEBO, TEODORO;2100;40.0;82000;2050.0;0;A ESTRENAR;;;;SI;;;VILLA SANTA RITA;11;-58.491342727628727;-34.612182539080315
OBISPO SAN ALBERTO;3300;60.0;123000;2050.0;0;A ESTRENAR;;;;;;;VILLA PUEYRREDON;12;-58.511041838134354;-34.585563464192887
MIRALLA;1700;20.0;41000;2050.0;1;A ESTRENAR;;;;;;;MATADEROS;9;-58.493073389165637;-34.654138961925526
CARRANZA, ADOLFO P.;3000;100.0;205000;2050.0;0;9;;;SI;SI;;;VILLA DEL PARQUE;11;-58.485524278455486;-34.608549192239273
ISABEL LA CATOLICA;100;100.0;205000;2050.0;3;45;;;SI;2;;;BARRACAS;4;-58.374268809490196;-34.633204922838345
SARMIENTO;2700;40.0;82000;2050.0;2;0;;;;SI;SI;;PALERMO;14;-58.420029983225156;-34.579930320245815
GALICIA;200;40.0;82000;2050.0;0;0;;;;SI;;;VILLA CRESPO;15;-58.445573340997065;-34.602197343917346
NAON, JUAN JOSE;3500;36.0;73800;2050.0;0;0;;;;SI;;;SAAVEDRA;12;-58.481630103682811;-34.556417251708737
GALLO;900;100.0;205000;2050.0;3;3;;;;2;;;ALMAGRO;5;-58.412289545600387;-34.599301756006888
GURRUCHAGA;2400;200.0;410000;2050.0;0;45;;;;;;;PALERMO;14;-58.421376715021275;-34.583255972239712
